fetch_time,station,stop_id,line,category,train_number,operator,arrival_time,arrival_platform,previous_stops,departure_time,departure_platform,next_stops
2026-01-21 08:15:02.605059,Berlin Hbf,-5749564141408552110-2601210934-3,RE5,RE,3508,800158,2026-01-21 09:43:00,6,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 09:46:00,6,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
2026-01-21 08:20:02.220175,Berlin Hbf,1375556554873415977-2601210502-22,RE5,RE,3505,800158,2026-01-21 08:13:00,3,Stralsund Hbf|Zarrendorf|Elmenhorst|Wittenhagen|Grimmen|Rakow|Demmin|Utzedel|Sternfeld|Gnevkow|Altentreptow|Neubrandenburg|Burg Stargard(Meckl)|Cammin(Meckl)|Blankensee(Meckl)|Neustrelitz Hbf|Fürstenberg(Havel)|Gransee|Löwenberg(Mark)|Oranienburg|Berlin Gesundbrunnen,2026-01-21 08:16:00,3,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 08:20:02.220181,Berlin Hbf,-1969128958741569889-2601210834-3,RE5,RE,4354,800158,2026-01-21 08:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 08:46:00,5,Berlin Gesundbrunnen|Oranienburg|Gransee|Dannenwalde(Gransee)|Fürstenberg(Havel)|Neustrelitz Hbf|Kratzeburg|Waren(Müritz)|Langhagen|Rostock Hbf
2026-01-21 08:20:02.328232,Berlin Hbf,4623933687143888319-2601210637-11,RE5,RE,4355,800158,2026-01-21 09:11:00,4,Rostock Hbf|Langhagen|Waren(Müritz)|Kratzeburg|Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Oranienburg|Berlin Gesundbrunnen,2026-01-21 09:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 08:20:02.328247,Berlin Hbf,-5749564141408552110-2601210934-3,RE5,RE,3508,800158,2026-01-21 09:43:00,6,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 09:46:00,6,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
2026-01-21 08:25:02.023014,Berlin Hbf,1375556554873415977-2601210502-22,RE5,RE,3505,800158,2026-01-21 08:13:00,3,Stralsund Hbf|Zarrendorf|Elmenhorst|Wittenhagen|Grimmen|Rakow|Demmin|Utzedel|Sternfeld|Gnevkow|Altentreptow|Neubrandenburg|Burg Stargard(Meckl)|Cammin(Meckl)|Blankensee(Meckl)|Neustrelitz Hbf|Fürstenberg(Havel)|Gransee|Löwenberg(Mark)|Oranienburg|Berlin Gesundbrunnen,2026-01-21 08:16:00,3,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 08:25:02.023021,Berlin Hbf,-1969128958741569889-2601210834-3,RE5,RE,4354,800158,2026-01-21 08:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 08:46:00,5,Berlin Gesundbrunnen|Oranienburg|Gransee|Dannenwalde(Gransee)|Fürstenberg(Havel)|Neustrelitz Hbf|Kratzeburg|Waren(Müritz)|Langhagen|Rostock Hbf
2026-01-21 08:25:02.217053,Berlin Hbf,4623933687143888319-2601210637-11,RE5,RE,4355,800158,2026-01-21 09:11:00,4,Rostock Hbf|Langhagen|Waren(Müritz)|Kratzeburg|Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Oranienburg|Berlin Gesundbrunnen,2026-01-21 09:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 08:25:02.217079,Berlin Hbf,-5749564141408552110-2601210934-3,RE5,RE,3508,800158,2026-01-21 09:43:00,6,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 09:46:00,6,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
2026-01-21 08:30:01.729270,Berlin Hbf,1375556554873415977-2601210502-22,RE5,RE,3505,800158,2026-01-21 08:13:00,3,Stralsund Hbf|Zarrendorf|Elmenhorst|Wittenhagen|Grimmen|Rakow|Demmin|Utzedel|Sternfeld|Gnevkow|Altentreptow|Neubrandenburg|Burg Stargard(Meckl)|Cammin(Meckl)|Blankensee(Meckl)|Neustrelitz Hbf|Fürstenberg(Havel)|Gransee|Löwenberg(Mark)|Oranienburg|Berlin Gesundbrunnen,2026-01-21 08:16:00,3,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 08:30:01.729281,Berlin Hbf,-1969128958741569889-2601210834-3,RE5,RE,4354,800158,2026-01-21 08:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 08:46:00,5,Berlin Gesundbrunnen|Oranienburg|Gransee|Dannenwalde(Gransee)|Fürstenberg(Havel)|Neustrelitz Hbf|Kratzeburg|Waren(Müritz)|Langhagen|Rostock Hbf
2026-01-21 08:30:01.944987,Berlin Hbf,4623933687143888319-2601210637-11,RE5,RE,4355,800158,2026-01-21 09:11:00,4,Rostock Hbf|Langhagen|Waren(Müritz)|Kratzeburg|Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Oranienburg|Berlin Gesundbrunnen,2026-01-21 09:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 08:30:01.945020,Berlin Hbf,-5749564141408552110-2601210934-3,RE5,RE,3508,800158,2026-01-21 09:43:00,6,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 09:46:00,6,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
